
[2021-06-09 09:56:28.942] 4831	507	274.614	95.887	19.562	31.266	31.266	40.291	9.025	576.3	655.0	95.1
[2021-06-09 09:56:30.947] 4831	507	274.667	95.901	19.559	31.264	31.264	40.291	9.027	576.3	654.9	95.2
[2021-06-09 09:56:32.936] 4831	507	274.673	95.906	19.561	31.263	31.263	40.290	9.027	576.3	654.9	95.1
[2021-06-09 09:56:34.940] 4831	507	274.693	95.914	19.561	31.262	31.262	40.290	9.027	576.3	655.0	95.1
[2021-06-09 09:56:36.930] 4831	507	274.563	95.874	19.564	31.267	31.267	40.294	9.027	576.2	654.9	95.0
[2021-06-09 09:56:38.931] 4831	507	274.629	95.897	19.564	31.264	31.264	40.289	9.025	576.2	654.9	95.0
[2021-06-09 09:56:40.935] 4831	507	274.686	95.910	19.560	31.263	31.263	40.290	9.027	576.2	654.8	95.1
[2021-06-09 09:56:42.924] 4831	507	274.850	95.950	19.552	31.260	31.260	40.287	9.027	576.2	654.8	95.4
[2021-06-09 09:56:44.929] 4831	507	274.907	95.965	19.549	31.259	31.259	40.286	9.028	576.1	654.8	95.5
[2021-06-09 09:56:46.950] 4831	507	274.822	95.940	19.551	31.261	31.261	40.290	9.028	576.2	654.7	95.4
[2021-06-09 09:56:48.939] 4831	507	274.784	95.937	19.557	31.260	31.260	40.289	9.029	576.1	654.7	95.2
[2021-06-09 09:56:50.943] 4831	507	274.883	95.977	19.559	31.255	31.255	40.285	9.030	576.1	654.7	95.2
[2021-06-09 09:56:52.948] 4831	507	274.792	95.946	19.560	31.259	31.259	40.287	9.028	576.0	654.7	95.2
[2021-06-09 09:56:54.946] 4831	507	275.062	96.031	19.555	31.250	31.250	40.280	9.030	576.0	654.7	95.3
[2021-06-09 09:56:56.935] 4831	507	275.032	96.022	19.556	31.250	31.250	40.280	9.030	576.0	654.6	95.3
[2021-06-09 09:56:58.940] 4831	507	275.038	96.016	19.551	31.252	31.252	40.281	9.029	575.9	654.6	95.4
[2021-06-09 09:57:00.929] 4831	507	275.153	96.056	19.552	31.247	31.247	40.278	9.031	575.9	654.6	95.4
[2021-06-09 09:57:02.934] 4831	507	275.103	96.032	19.548	31.251	31.251	40.280	9.029	575.9	654.6	95.5
[2021-06-09 09:57:04.939] 4831	507	275.068	96.040	19.559	31.248	31.248	40.277	9.030	575.9	654.6	95.2
[2021-06-09 09:57:06.928] 4831	507	275.175	96.072	19.556	31.244	31.244	40.274	9.030	575.8	654.5	95.3
[2021-06-09 09:57:08.933] 4831	507	275.121	96.055	19.557	31.246	31.246	40.275	9.029	575.7	654.4	95.3
[2021-06-09 09:57:10.938] 4831	507	275.203	96.087	19.558	31.242	31.242	40.273	9.031	575.7	654.5	95.2
[2021-06-09 09:57:12.943] 4831	507	275.204	96.092	19.561	31.241	31.241	40.273	9.032	575.6	654.4	95.1
[2021-06-09 09:57:14.947] 4831	507	275.319	96.132	19.561	31.236	31.236	40.267	9.031	575.6	654.4	95.1
[2021-06-09 09:57:16.936] 4831	507	275.347	96.137	19.558	31.236	31.236	40.269	9.033	575.6	654.4	95.2
[2021-06-09 09:57:18.941] 4831	507	275.305	96.125	19.560	31.237	31.237	40.271	9.033	575.6	654.3	95.2
[2021-06-09 09:57:20.931] 4831	507	275.339	96.136	19.559	31.236	31.236	40.268	9.031	575.5	654.3	95.2
[2021-06-09 09:57:22.935] 4831	507	275.403	96.151	19.556	31.235	31.235	40.267	9.032	575.5	654.3	95.3
[2021-06-09 09:57:24.940] 4831	507	275.458	96.157	19.549	31.236	31.236	40.268	9.032	575.5	654.2	95.5
[2021-06-09 09:57:26.929] 4831	507	275.416	96.135	19.545	31.239	31.239	40.270	9.031	575.4	654.1	95.6
[2021-06-09 09:57:28.934] 4831	507	275.504	96.164	19.544	31.236	31.236	40.268	9.032	575.5	654.2	95.7
[2021-06-09 09:57:30.932] 4831	507	275.567	96.198	19.550	31.231	31.231	40.264	9.033	575.4	654.1	95.5
[2021-06-09 09:57:32.922] 4831	507	275.701	96.236	19.546	31.227	31.227	40.261	9.034	575.4	654.0	95.6
[2021-06-09 09:57:34.948] 4831	507	275.595	96.212	19.552	31.229	31.229	40.262	9.034	575.4	654.0	95.4
[2021-06-09 09:57:36.946] 4831	507	275.547	96.193	19.551	31.231	31.231	40.262	9.031	575.3	654.0	95.4
[2021-06-09 09:57:38.935] 4831	507	275.655	96.230	19.551	31.226	31.226	40.261	9.035	575.3	654.0	95.4
[2021-06-09 09:57:40.940] 4831	507	275.707	96.245	19.550	31.225	31.225	40.260	9.035	575.2	654.0	95.5
[2021-06-09 09:57:42.945] 4831	507	275.684	96.240	19.551	31.225	31.225	40.258	9.033	575.2	654.0	95.4
[2021-06-09 09:57:44.934] 4831	507	275.753	96.272	19.555	31.221	31.221	40.255	9.034	575.1	653.9	95.3
[2021-06-09 09:57:46.939] 4831	507	275.670	96.247	19.557	31.223	31.223	40.258	9.034	575.2	653.9	95.2
[2021-06-09 09:57:48.928] 4831	507	275.742	96.264	19.553	31.222	31.222	40.256	9.034	575.1	653.9	95.4
[2021-06-09 09:57:50.933] 4831	507	275.772	96.277	19.554	31.220	31.220	40.254	9.034	575.1	653.8	95.3
[2021-06-09 09:57:52.938] 4831	507	275.888	96.316	19.553	31.216	31.216	40.251	9.035	575.0	653.8	95.4
[2021-06-09 09:57:54.927] 4831	507	275.843	96.298	19.552	31.218	31.218	40.253	9.034	574.9	653.8	95.4
[2021-06-09 09:57:56.948] 4831	507	275.887	96.323	19.557	31.214	31.214	40.248	9.034	575.0	653.7	95.2
[2021-06-09 09:57:58.937] 4831	507	275.718	96.272	19.561	31.219	31.219	40.253	9.034	574.9	653.7	95.1
[2021-06-09 09:58:00.942] 4831	507	275.766	96.292	19.563	31.217	31.217	40.251	9.034	574.9	653.7	95.1
[2021-06-09 09:58:02.946] 4831	507	275.809	96.306	19.562	31.215	31.215	40.248	9.032	574.8	653.7	95.1
[2021-06-09 09:58:04.936] 4831	507	275.917	96.344	19.562	31.211	31.211	40.246	9.035	574.8	653.7	95.1
[2021-06-09 09:58:06.940] 4831	507	275.870	96.332	19.565	31.212	31.212	40.245	9.033	574.8	653.7	95.0
[2021-06-09 09:58:08.929] 4831	507	275.999	96.368	19.560	31.208	31.208	40.244	9.035	574.7	653.6	95.1
